Country,EdLevel,YearsCodePro,Salary
51,0,15.0,136000.0
50,2,5.0,54025.0
51,0,0.5,130000.0
50,0,18.0,136947.0
35,1,6.0,41625.0
51,2,15.0,200000.0
50,2,7.0,118729.0
51,0,3.0,110000.0
51,1,1.0,70000.0
20,0,5.0,58037.0
16,2,4.0,52789.0
51,2,4.0,100000.0
51,1,10.0,120000.0
50,0,8.0,60307.0
51,0,9.0,100000.0
50,0,0.5,27641.0
51,0,5.0,75000.0
4,2,5.0,63984.0
50,0,15.0,213587.0
16,2,15.0,85315.0
32,2,11.0,160008.0
51,0,14.0,147000.0
51,0,2.0,172000.0
50,0,7.0,59050.0
51,0,14.0,101000.0
51,1,9.0,120000.0
51,1,19.0,160000.0
51,0,4.0,175000.0
5,0,3.0,42440.0
7,0,5.0,136647.0
29,0,37.0,62387.0
51,1,46.0,100000.0
16,2,3.0,58654.0
7,1,0.5,46850.0
17,2,20.0,68252.0
28,0,0.5,12500.0
43,2,3.0,26128.0
51,0,5.0,75000.0
51,0,22.0,250000.0
29,1,12.0,49056.0
7,1,3.0,75507.0
35,2,2.0,27756.0
24,0,11.0,197292.0
45,2,6.0,73140.0
50,0,3.0,27641.0
7,0,2.0,43727.0
24,0,15.0,190925.0
11,2,7.0,114324.0
35,2,10.0,50875.0
50,0,7.0,96742.0
46,2,20.0,155129.0
51,0,23.0,140000.0
24,1,6.0,96852.0
50,0,2.0,42089.0
29,0,12.0,93846.0
51,0,2.0,67000.0
5,0,15.0,86304.0
29,1,1.0,213287.0
2,1,13.0,66119.0
17,2,3.0,71451.0
51,0,3.0,150000.0
51,0,3.0,83000.0
45,0,10.0,71916.0
16,2,5.0,34126.0
7,2,7.0,70276.0
7,2,14.0,140551.0
35,2,4.0,41628.0
51,0,8.0,104000.0
51,0,1.0,155000.0
50,1,7.0,26384.0
51,0,10.0,206000.0
43,1,15.0,49056.0
51,0,3.0,45000.0
51,0,2.0,130000.0
51,1,10.0,230000.0
51,0,12.0,155000.0
32,1,5.0,38392.0
50,2,19.0,138203.0
2,1,24.0,74651.0
50,0,4.0,75384.0
7,1,10.0,74180.0
51,0,4.0,130000.0
24,2,12.0,194303.0
50,0,24.0,81666.0
51,0,1.0,80000.0
23,0,15.0,53322.0
42,0,21.0,56897.0
51,0,4.0,240000.0
17,1,1.0,44790.0
51,2,0.5,100000.0
51,0,7.0,75000.0
2,0,3.0,43512.0
45,2,10.0,68256.0
51,2,3.0,120000.0
51,0,20.0,160000.0
32,0,3.0,45899.0
51,3,32.0,175000.0
9,0,5.0,75684.0
51,0,11.0,150000.0
45,1,7.0,60948.0
51,1,14.0,120000.0
51,2,20.0,210000.0
51,0,4.0,109000.0
51,0,4.0,70000.0
51,1,13.0,150000.0
